time                            horizontal-angle     elevation-angle
2020-11-10 09:58:04.431          -0.000           0.000 
2020-11-10 09:58:05.432          -0.000           0.000 
2020-11-10 09:58:06.432          -0.000           0.000 
2020-11-10 09:58:07.433          -0.000           0.000 
2020-11-10 09:58:08.434          -0.000           0.000 
2020-11-10 09:58:09.435          -0.000           0.000 
2020-11-10 09:58:10.436          -0.000           0.000 
2020-11-10 09:58:11.437          -0.000           0.000 
2020-11-10 09:58:12.438          -0.000           0.000 
2020-11-10 09:58:13.439           0.000           0.000 
2020-11-10 09:58:14.440          -0.000           0.000 
2020-11-10 09:58:15.440          -0.000           0.000 
2020-11-10 09:58:16.441          -0.000           0.000 
2020-11-10 09:58:17.442          -0.000           0.000 
2020-11-10 09:58:18.443          -0.000           0.000 
2020-11-10 09:58:19.444          -0.000           0.000 
2020-11-10 09:58:20.445          -0.000           0.000 
2020-11-10 09:58:21.445          -0.000           0.000 
2020-11-10 09:58:22.446          -0.000           0.000 
2020-11-10 09:58:23.447          -0.000           0.000 
2020-11-10 09:58:24.448           0.000           0.000 
2020-11-10 09:58:25.449          -0.000           0.000 
2020-11-10 09:58:26.450          -0.000           0.000 
2020-11-10 09:58:27.450           0.000           0.000 
2020-11-10 09:58:28.451           0.000           0.000 
2020-11-10 09:58:29.452           0.000           0.000 
2020-11-10 09:58:30.453           0.000           0.000 
2020-11-10 09:58:31.454           0.000           0.000 
2020-11-10 09:58:32.455           0.000           0.000 
2020-11-10 09:58:33.455           0.000           0.000 
2020-11-10 09:58:34.456           0.000           0.000 
2020-11-10 09:58:35.457          -0.000           0.000 
2020-11-10 09:58:36.458           0.000           0.000 
2020-11-10 09:58:37.459          -0.000           0.000 
2020-11-10 09:58:38.460          -0.000           0.000 
2020-11-10 09:58:39.460          -0.000           0.000 
2020-11-10 09:58:40.461          -0.000           0.000 
2020-11-10 09:58:41.462          -0.000           0.000 
2020-11-10 09:58:42.463          -0.000           0.000 
2020-11-10 09:58:43.464          -0.000           0.000 
2020-11-10 09:58:44.465          -0.000           0.000 
2020-11-10 09:58:45.465          -0.000           0.000 
2020-11-10 09:58:46.466          -0.000           0.000 
2020-11-10 09:58:47.467          -0.000           0.000 
2020-11-10 09:58:48.468          -0.000           0.000 
2020-11-10 09:58:49.468          -0.000           0.000 
2020-11-10 09:58:50.469          -0.000           0.000 
2020-11-10 09:58:51.470          -0.000           0.000 
2020-11-10 09:58:52.471          -0.000           0.000 
2020-11-10 09:58:53.472          -0.000           0.000 
2020-11-10 09:58:54.473          -0.000           0.000 
2020-11-10 09:58:55.474          -0.000           0.000 
